white_share,n_crimes,n_searches,lsoa_id,rel_size
0.882072256305385,498,12,1,0.000185701021355617
0.0554335894621295,978,8,2,0.000123800680903745
0.893408134642356,556,14,3,0.000216651191581554
0.952720207253886,627,20,4,0.000309501702259362
0.79089709762533,1743,18,5,0.000278551532033426
0.587533156498674,1091,26,6,0.000402352212937171
0.939871152469578,449,2,7,3.09501702259362e-05
0.947086801426873,1487,13,8,0.000201176106468586
0.713545521835677,1014,14,9,0.000216651191581554
0.8898847631242,1650,23,10,0.000355926957598267
0.748717948717949,1380,5,11,7.73754255648406e-05
0.817267888823182,720,9,12,0.000139275766016713
0.660785429709733,1503,81,13,0.00125348189415042
0.746041798606713,1100,10,14,0.000154750851129681
0.981710914454277,1056,24,15,0.000371402042711235
0.777639751552795,1311,34,16,0.000526152893840916
0.205607476635514,1525,35,17,0.000541627978953884
0.0842142353770261,1816,81,18,0.00125348189415042
0.725930680359435,985,7,19,0.000108325595790777
0.869489305979922,10375,237,20,0.00366759517177344
0.917539267015707,2854,88,21,0.00136180748994119
0.922242314647378,958,9,22,0.000139275766016713
0.766688697951091,635,1,23,1.54750851129681e-05
0.81473968897904,1490,41,24,0.000634478489631693
0.759174311926605,696,13,25,0.000201176106468586
0.823639774859287,916,14,26,0.000216651191581554
0.641072516758074,1161,15,27,0.000232126276694522
0.970947123765253,915,8,28,0.000123800680903745
0.966618287373004,750,7,29,0.000108325595790777
0.950229207596595,1724,52,30,0.000804704425874342
0.531907179115301,2503,46,31,0.000711853915196534
0.784037558685446,2979,50,32,0.000773754255648406
0.806716417910448,390,2,33,3.09501702259362e-05
0.128509045539613,953,45,34,0.000696378830083565
0.961812297734628,1353,10,35,0.000154750851129681
0.902798982188295,2610,63,36,0.000974930362116992
0.796798886569242,1196,15,37,0.000232126276694522
0.673446327683616,1333,36,38,0.000557103064066852
0.821341463414634,1084,26,39,0.000402352212937171
0.916565164433618,604,4,40,6.19003404518725e-05
0.148806218767351,824,21,41,0.000324976787372331
0.525978647686833,442,15,42,0.000232126276694522
0.684907834101383,2845,105,43,0.00162488393686165
0.184931506849315,612,15,44,0.000232126276694522
0.517015706806283,1462,56,45,0.000866604766326215
0.749667994687915,936,50,46,0.000773754255648406
0.84635761589404,1922,2,47,3.09501702259362e-05
0.69128156264888,3375,132,48,0.00204271123491179
0.610831234256927,719,8,49,0.000123800680903745
0.814098919840819,1823,14,50,0.000216651191581554
0.847058823529412,1495,19,51,0.000294026617146394
0.368421052631579,1893,40,52,0.000619003404518725
0.709736680955297,1587,16,53,0.00024760136180749
0.493375728669846,4713,258,54,0.00399257195914578
0.903057419835943,722,4,55,6.19003404518725e-05
0.908683473389356,2713,19,56,0.000294026617146394
0.851089588377724,4380,172,57,0.00266171463943052
0.78373382624769,644,19,58,0.000294026617146394
0.257594167679222,1383,4,59,6.19003404518725e-05
0.918243754731264,1358,27,60,0.000417827298050139
0.840185676392573,1614,25,61,0.000386877127824203
0.92065868263473,729,6,62,9.28505106778087e-05
0.778076664425017,1124,8,63,0.000123800680903745
0.848708487084871,1652,14,64,0.000216651191581554
0.816599732262383,778,14,65,0.000216651191581554
0.828919112383679,1618,35,66,0.000541627978953884
0.803188565145685,1690,27,67,0.000417827298050139
0.884641180415828,556,8,68,0.000123800680903745
0.915618060695781,636,6,69,9.28505106778087e-05
0.368168389955687,1766,37,70,0.000572578149179821
0.81203007518797,1796,24,71,0.000371402042711235
0.901564537157758,1143,8,72,0.000123800680903745
0.943248532289628,353,4,73,6.19003404518725e-05
0.704250295159386,2090,31,74,0.000479727638502012
0.817424727738629,2235,50,75,0.000773754255648406
0.380785002929115,1229,17,76,0.000263076446920458
0.971395213076474,950,10,77,0.000154750851129681
0.713618157543391,1352,42,78,0.000649953574744661
0.759195402298851,2379,19,79,0.000294026617146394
0.912413793103448,383,3,80,4.64252553389044e-05
0.798063623789765,713,17,81,0.000263076446920458
0.805489260143198,539,6,82,9.28505106778087e-05
0.620184899845917,1517,37,83,0.000572578149179821
0.9234205488194,734,16,84,0.00024760136180749
0.690457097032879,574,4,85,6.19003404518725e-05
0.787460815047022,1309,53,86,0.00082017951098731
0.919108280254777,530,10,87,0.000154750851129681
0.898513582778062,993,8,88,0.000123800680903745
0.553034300791557,4890,188,89,0.00290931600123801
0.787081339712919,999,15,90,0.000232126276694522
